"Team","Opponent","Shots","Att_rating","Def_rating","Venue","Time"
"arsenal","forest",15,82.5555555555556,73.3333333333333,"1",1
"arsenal","crystal",13,83,77,"0",2
"arsenal","fulham",18,83.75,77.3333333333333,"1",3
"arsenal","manchester united",17,82.375,82.5,"1",4
"arsenal","everton",13,81.75,76,"0",5
"arsenal","tottenham",12,81.75,79,"1",6
"arsenal","bournemouth",13,82.375,74.6666666666667,"0",7
"arsenal","manchester city",12,81.7142857142857,82.7142857142857,"1",8
"arsenal","chelsea",13,83.7142857142857,79.1428571428571,"0",9
"arsenal","sheffield",12,81.25,72.75,"1",10
"arsenal","newcastle",14,82,80.7142857142857,"0",11
"arsenal","burnley",16,83,74,"1",12
"arsenal","brentford",15,83.8571428571429,74,"0",13
"arsenal","wolves",19,83.8571428571429,73.625,"1",14
"arsenal","luton",23,84,71.1428571428571,"0",15
"liverpool","chelsea",13,84.5714285714286,78.5,"0",1
"liverpool","bournemouth",25,84.5714285714286,74.5,"1",2
"liverpool","newcastle",9,84.5714285714286,83,"0",3
"liverpool","aston",17,83,79.875,"1",4
"liverpool","wolves",16,82.5714285714286,76.4285714285714,"0",5
"liverpool","west",21,82.625,78.7142857142857,"1",6
"liverpool","tottenham",12,82.75,79,"0",7
"liverpool","brighton",13,83.5,76.4,"0",8
"liverpool","everton",25,82.7142857142857,75.2857142857143,"1",9
"liverpool","forest",21,82.4285714285714,75.75,"1",10
"liverpool","luton",24,82.7142857142857,71.75,"0",11
"liverpool","brentford",17,83.1666666666667,76.125,"1",12
"liverpool","manchester city",8,82.1428571428571,85.5,"0",13
"liverpool","fulham",26,82.625,76.2857142857143,"1",14
"liverpool","sheffield",15,83.5714285714286,73.8333333333333,"0",15
"aston","newcastle",16,79.875,83,"0",1
"aston","everton",12,79.875,75.75,"1",2
"aston","burnley",16,80,73.6666666666667,"0",3
"aston","liverpool",9,80,81.6666666666667,"0",4
"aston","crystal",15,80,76.125,"1",5
"aston","chelsea",15,80,79.1428571428571,"0",6
"aston","brighton",19,80,74.8333333333333,"1",7
"aston","wolves",18,80,76.2857142857143,"0",8
"aston","west",14,80,78.7142857142857,"1",9
"aston","luton",17,80,71.75,"1",10
"aston","forest",13,80,74.7142857142857,"0",11
"aston","fulham",12,80.25,76.5,"1",12
"aston","tottenham",15,80,79,"0",13
"aston","bournemouth",11,79.7142857142857,74.4,"0",14
"aston","manchester city",22,79.7142857142857,83.2857142857143,"1",15
"manchester city","burnley",17,84.6666666666667,74.1666666666667,"0",1
"manchester city","newcastle",14,84.75,83,"1",2
"manchester city","sheffield",29,84.6666666666667,73.375,"0",3
"manchester city","fulham",6,83.625,75.5,"1",4
"manchester city","west",29,84.5,78.7142857142857,"0",5
"manchester city","forest",7,83.375,76.75,"1",6
"manchester city","wolves",23,82.375,76.2857142857143,"0",7
"manchester city","arsenal",4,82.8888888888889,83.1666666666667,"0",8
"manchester city","brighton",10,84.5555555555556,76.2,"1",9
"manchester city","manchester united",20,85.4444444444444,80.5,"0",10
"manchester city","bournemouth",21,84.1111111111111,73.4285714285714,"1",11
"manchester city","chelsea",14,84.5,81,"0",12
"manchester city","liverpool",16,84.375,81.8333333333333,"1",13
"manchester city","tottenham",17,84.5,78.4,"1",14
"manchester city","aston",2,83.5,80.25,"0",15
"tottenham","brentford",18,79.25,76.625,"0",1
"tottenham","manchester united",17,79,83.5,"1",2
"tottenham","bournemouth",17,79,74,"0",3
"tottenham","burnley",21,78.625,74.1666666666667,"0",4
"tottenham","sheffield",28,78.625,73.7142857142857,"1",5
"tottenham","arsenal",13,78.5,82.2857142857143,"0",6
"tottenham","liverpool",24,79,82.1666666666667,"1",7
"tottenham","luton",15,79,71.7142857142857,"0",8
"tottenham","fulham",15,79.625,76.6666666666667,"1",9
"tottenham","crystal",10,79,76.375,"0",10
"tottenham","chelsea",8,78.5,80.2857142857143,"1",11
"tottenham","wolves",6,78.5,76.125,"0",12
"tottenham","aston",18,78.8888888888889,79.875,"1",13
"tottenham","manchester city",8,78.5555555555556,85.6666666666667,"0",14
"tottenham","west",23,79.5,78.7142857142857,"1",15
"manchester united","wolves",15,81.8571428571429,76.6666666666667,"1",1
"manchester united","tottenham",22,81.8571428571429,79,"0",2
"manchester united","forest",17,82.4285714285714,73,"1",3
"manchester united","arsenal",10,82.4285714285714,83.1666666666667,"0",4
"manchester united","brighton",14,81.2857142857143,76.7142857142857,"1",5
"manchester united","burnley",11,79.1428571428571,73.7142857142857,"0",6
"manchester united","crystal",19,80.1428571428571,76.625,"1",7
"manchester united","brentford",21,81.6666666666667,75.75,"1",8
"manchester united","sheffield",14,81.2857142857143,73.5714285714286,"0",9
"manchester united","manchester city",7,81.5714285714286,86.1666666666667,"1",10
"manchester united","fulham",12,80.25,76.5,"0",11
"manchester united","luton",15,80.5,71.75,"1",12
"manchester united","everton",8,79,75.4285714285714,"0",13
"manchester united","newcastle",8,79.1111111111111,77.8571428571429,"0",14
"manchester united","chelsea",27,80.25,79.8333333333333,"1",15
"newcastle","aston",17,81.625,79.1428571428571,"1",1
"newcastle","manchester city",7,81.625,84.6666666666667,"0",2
"newcastle","liverpool",23,81.625,84.6,"1",3
"newcastle","brighton",9,81,76.6666666666667,"0",4
"newcastle","brentford",8,79.375,77.125,"1",5
"newcastle","sheffield",22,80.125,73.875,"0",6
"newcastle","burnley",19,79.375,73.875,"1",7
"newcastle","west",10,80.75,78.7142857142857,"0",8
"newcastle","crystal",10,80.125,76.4285714285714,"1",9
"newcastle","wolves",12,80.75,75.1428571428571,"0",10
"newcastle","arsenal",9,80.75,83,"1",11
"newcastle","bournemouth",8,76,73.8,"0",12
"newcastle","chelsea",14,78.125,79.8571428571429,"1",13
"newcastle","manchester united",22,78.125,78.7142857142857,"1",14
"newcastle","everton",13,78.125,75.8571428571429,"0",15
"brighton","luton",26,77.2857142857143,72.375,"1",1
"brighton","wolves",16,76,76.6666666666667,"0",2
"brighton","west",25,76.5714285714286,78.2857142857143,"1",3
"brighton","newcastle",15,76.2857142857143,82,"1",4
"brighton","manchester united",10,76.2857142857143,81.7142857142857,"0",5
"brighton","bournemouth",13,75,74.1666666666667,"1",6
"brighton","aston",11,76.5,79.7142857142857,"0",7
"brighton","liverpool",14,74.8571428571429,83.3333333333333,"1",8
"brighton","manchester city",5,75,85,"0",9
"brighton","fulham",18,74.6666666666667,76.4285714285714,"1",10
"brighton","everton",7,75.4285714285714,75.4285714285714,"0",11
"brighton","sheffield",11,74.8571428571429,73.25,"1",12
"brighton","forest",10,75.5,74,"0",13
"brighton","chelsea",18,73,79.4285714285714,"0",14
"brighton","brentford",18,72.3333333333333,72.625,"1",15
"west","bournemouth",16,78,74.5,"0",1
"west","chelsea",11,78.1428571428571,77.5,"1",2
"west","brighton",12,78.1666666666667,77.6666666666667,"0",3
"west","luton",9,78,72.125,"0",4
"west","manchester city",6,78.1666666666667,85.6666666666667,"1",5
"west","liverpool",11,78.1666666666667,82.1666666666667,"0",6
"west","sheffield",20,78.1666666666667,73.8571428571429,"1",7
"west","newcastle",5,78.1666666666667,80.125,"1",8
"west","aston",14,78.1666666666667,79.7142857142857,"0",9
"west","everton",12,78.1666666666667,74.7142857142857,"1",10
"west","brentford",12,78.2222222222222,76,"0",11
"west","forest",16,78.3333333333333,74.7142857142857,"1",12
"west","burnley",11,78,74,"0",13
"west","crystal",9,78.2857142857143,75.8571428571429,"1",14
"west","tottenham",11,78.3333333333333,80,"0",15
"chelsea","liverpool",10,78.8571428571429,84.8,"1",1
"chelsea","west",16,77.7142857142857,78.3333333333333,"0",2
"chelsea","luton",19,79.8571428571429,72.625,"1",3
"chelsea","forest",21,79.8571428571429,75.125,"1",4
"chelsea","bournemouth",14,78,74.1666666666667,"0",5
"chelsea","aston",10,79,79.7142857142857,"1",6
"chelsea","fulham",11,76.7142857142857,77.1666666666667,"0",7
"chelsea","burnley",8,77.8571428571429,73.8333333333333,"0",8
"chelsea","arsenal",10,77.625,83.1666666666667,"1",9
"chelsea","brentford",17,77.4285714285714,75.75,"1",10
"chelsea","tottenham",16,79,79,"0",11
"chelsea","manchester city",16,79,85.6666666666667,"1",12
"chelsea","newcastle",7,78.125,77.8571428571429,"0",13
"chelsea","brighton",7,79.5,71.7142857142857,"1",14
"chelsea","manchester united",13,77.8571428571429,81.2857142857143,"0",15
"brentford","tottenham",10,76.5,79.2857142857143,"1",1
"brentford","fulham",16,76.125,76,"0",2
"brentford","crystal",12,76.125,77,"1",3
"brentford","bournemouth",21,76.1428571428571,74.6666666666667,"1",4
"brentford","newcastle",11,76.7142857142857,80.4285714285714,"0",5
"brentford","everton",12,75.25,75.5,"1",6
"brentford","forest",18,75.75,76.1428571428571,"0",7
"brentford","manchester united",11,75.625,80.4285714285714,"0",8
"brentford","burnley",23,75.625,73.8333333333333,"1",9
"brentford","chelsea",7,75.625,79,"0",10
"brentford","west",16,75.625,78.1666666666667,"1",11
"brentford","liverpool",16,75.5714285714286,83,"0",12
"brentford","arsenal",9,73.1428571428571,83.8,"1",13
"brentford","luton",27,73,71.2222222222222,"1",14
"brentford","brighton",7,71.875,71,"0",15
"fulham","everton",9,75.875,75.75,"0",1
"fulham","brentford",10,76.125,76.8571428571429,"1",2
"fulham","arsenal",8,76.6666666666667,82.3333333333333,"0",3
"fulham","manchester city",6,75.75,84.5,"0",4
"fulham","luton",13,77.125,72.25,"1",5
"fulham","crystal",10,77.25,76.625,"0",6
"fulham","chelsea",10,77.125,79.5714285714286,"1",7
"fulham","sheffield",20,77.125,73.875,"1",8
"fulham","tottenham",10,76.8888888888889,79.7142857142857,"0",9
"fulham","brighton",10,76.7777777777778,76.5714285714286,"0",10
"fulham","manchester united",18,76,80.5714285714286,"1",11
"fulham","aston",9,76.8888888888889,80,"0",12
"fulham","wolves",10,75.8888888888889,76.125,"1",13
"fulham","liverpool",9,76.5555555555556,82.1666666666667,"0",14
"fulham","forest",14,76.6666666666667,74.8571428571429,"1",15
"wolves","manchester united",23,77.1428571428571,83.5,"0",1
"wolves","brighton",16,76.4285714285714,77.6666666666667,"1",2
"wolves","everton",11,76,75.125,"0",3
"wolves","crystal",12,76.625,77,"0",4
"wolves","liverpool",11,76.7142857142857,77.6666666666667,"1",5
"wolves","luton",3,76.7142857142857,72.25,"0",6
"wolves","manchester city",3,76.5714285714286,82.8333333333333,"1",7
"wolves","aston",8,76.5714285714286,79.875,"1",8
"wolves","bournemouth",21,74.7142857142857,73.8571428571429,"0",9
"wolves","newcastle",11,75.4285714285714,80.7142857142857,"1",10
"wolves","sheffield",10,75.5714285714286,73.25,"0",11
"wolves","tottenham",17,76.2857142857143,78.2857142857143,"1",12
"wolves","fulham",9,76.2857142857143,75.1428571428571,"0",13
"wolves","arsenal",6,73.4285714285714,83.8,"0",14
"wolves","burnley",7,76.2857142857143,73.6,"1",15
"crystal","sheffield",24,76.125,72.75,"0",1
"crystal","arsenal",14,76.125,84,"1",2
"crystal","brentford",15,76.125,76.8571428571429,"0",3
"crystal","wolves",16,76.125,76.6666666666667,"1",4
"crystal","aston",6,75.75,79.7142857142857,"0",5
